Year,Age,Major ethnic group,Sex,Life expectancy
2020p,60,Bumiputera,Male,17.9
2020p,65,Bumiputera,Male,14.5
2020p,70,Bumiputera,Male,11.4
2020p,75,Bumiputera,Male,8.5
2020p,80+,Bumiputera,Male,6
2020p,0,Bumiputera,Female,76.6
2020p,1,Bumiputera,Female,76.1
2020p,5,Bumiputera,Female,72.2
2020p,10,Bumiputera,Female,67.2
2020p,15,Bumiputera,Female,62.3
2020p,20,Bumiputera,Female,57.4
2020p,25,Bumiputera,Female,52.5
2020p,30,Bumiputera,Female,47.6
2020p,35,Bumiputera,Female,42.8
2020p,40,Bumiputera,Female,38.1
2020p,45,Bumiputera,Female,33.5
2020p,50,Bumiputera,Female,29
2020p,55,Bumiputera,Female,24.7
2020p,60,Bumiputera,Female,20.6
2020p,65,Bumiputera,Female,16.8
2020p,70,Bumiputera,Female,13.2
2020p,75,Bumiputera,Female,9.8
2020p,80+,Bumiputera,Female,6.9
2021e,0,Bumiputera,Male,71.9
2021e,1,Bumiputera,Male,71.4
2021e,5,Bumiputera,Male,67.5
2021e,10,Bumiputera,Male,62.5
2021e,15,Bumiputera,Male,57.6
2021e,20,Bumiputera,Male,52.8
2021e,25,Bumiputera,Male,48.1
2021e,30,Bumiputera,Male,43.4
2021e,35,Bumiputera,Male,38.7
2021e,40,Bumiputera,Male,34.2
2021e,45,Bumiputera,Male,29.9
2021e,50,Bumiputera,Male,25.8
2021e,55,Bumiputera,Male,21.9
2021e,60,Bumiputera,Male,18.2
2021e,65,Bumiputera,Male,14.8
2021e,70,Bumiputera,Male,11.6
2021e,75,Bumiputera,Male,8.7
2021e,80+,Bumiputera,Male,6.1
2021e,0,Bumiputera,Female,77.1
2021e,1,Bumiputera,Female,76.6
2021e,5,Bumiputera,Female,72.7
2021e,10,Bumiputera,Female,67.8
2021e,15,Bumiputera,Female,62.8
2021e,20,Bumiputera,Female,57.9
2021e,25,Bumiputera,Female,53
2021e,30,Bumiputera,Female,48.1
2021e,35,Bumiputera,Female,43.3
2021e,40,Bumiputera,Female,38.6
2021e,45,Bumiputera,Female,34
2021e,50,Bumiputera,Female,29.5
2021e,55,Bumiputera,Female,25.2
2021e,60,Bumiputera,Female,21.1
2021e,65,Bumiputera,Female,17.2
2021e,70,Bumiputera,Female,13.5
2021e,75,Bumiputera,Female,10.1
2021e,80+,Bumiputera,Female,7.1
2010,0,Chinese,Male,74.4
2010,1,Chinese,Male,73.7
2010,5,Chinese,Male,69.8
2010,10,Chinese,Male,64.8
2010,15,Chinese,Male,59.9
2010,20,Chinese,Male,55.1
2010,25,Chinese,Male,50.3
2010,30,Chinese,Male,45.5
2010,35,Chinese,Male,40.7
2010,40,Chinese,Male,36.1
2010,45,Chinese,Male,31.6
2010,50,Chinese,Male,27.3
2010,55,Chinese,Male,23.1
2010,60,Chinese,Male,19.1
2010,65,Chinese,Male,15.4
2010,70,Chinese,Male,12
2010,75,Chinese,Male,9
2010,80+,Chinese,Male,6.4
2010,0,Chinese,Female,79.1
2010,1,Chinese,Female,78.4
2010,5,Chinese,Female,74.4
2010,10,Chinese,Female,69.5
2010,15,Chinese,Female,64.5
2010,20,Chinese,Female,59.6
2010,25,Chinese,Female,54.7
2010,30,Chinese,Female,49.8
2010,35,Chinese,Female,44.9
2010,40,Chinese,Female,40.1
2010,45,Chinese,Female,35.3
2010,50,Chinese,Female,30.6
2010,55,Chinese,Female,26.1
2010,60,Chinese,Female,21.7
2010,65,Chinese,Female,17.4
2010,70,Chinese,Female,13.5
2010,75,Chinese,Female,10
2010,80+,Chinese,Female,7.2
2011,0,Chinese,Male,74.6
2011,1,Chinese,Male,74
2011,5,Chinese,Male,70
2011,10,Chinese,Male,65.1
2011,15,Chinese,Male,60.1
2011,20,Chinese,Male,55.3
2011,25,Chinese,Male,50.5
2011,30,Chinese,Male,45.7
2011,35,Chinese,Male,41
2011,40,Chinese,Male,36.3
2011,45,Chinese,Male,31.8
2011,50,Chinese,Male,27.4
2011,55,Chinese,Male,23.3
2011,60,Chinese,Male,19.3
2011,65,Chinese,Male,15.5
2011,70,Chinese,Male,12.1
2011,75,Chinese,Male,9
2011,80+,Chinese,Male,6.4
2011,0,Chinese,Female,79.3
2011,1,Chinese,Female,78.6
2011,5,Chinese,Female,74.7
2011,10,Chinese,Female,69.7
2011,15,Chinese,Female,64.8
2011,20,Chinese,Female,59.8
2011,25,Chinese,Female,54.9
2011,30,Chinese,Female,50
2011,35,Chinese,Female,45.1
2011,40,Chinese,Female,40.3
2011,45,Chinese,Female,35.5
2011,50,Chinese,Female,30.8
2011,55,Chinese,Female,26.3
2011,60,Chinese,Female,21.9
2011,65,Chinese,Female,17.7
2011,70,Chinese,Female,13.7
2011,75,Chinese,Female,10.2
2011,80+,Chinese,Female,7.3
2012,0,Chinese,Male,74.8
2012,1,Chinese,Male,74.1
2012,5,Chinese,Male,70.2
2012,10,Chinese,Male,65.2
2012,15,Chinese,Male,60.3
2012,20,Chinese,Male,55.4
2012,25,Chinese,Male,50.6
2012,30,Chinese,Male,45.8
2012,35,Chinese,Male,41.1
2012,40,Chinese,Male,36.4
2012,45,Chinese,Male,31.9
2012,50,Chinese,Male,27.6
2012,55,Chinese,Male,23.4
2012,60,Chinese,Male,19.4
2012,65,Chinese,Male,15.7
2012,70,Chinese,Male,12.2
2012,75,Chinese,Male,9.2
2012,80+,Chinese,Male,6.5
2012,0,Chinese,Female,79.6
2012,1,Chinese,Female,78.9
2012,5,Chinese,Female,74.9
2012,10,Chinese,Female,70
2012,15,Chinese,Female,65
2012,20,Chinese,Female,60.1
2012,25,Chinese,Female,55.2
2012,30,Chinese,Female,50.2
2012,35,Chinese,Female,45.4
2012,40,Chinese,Female,40.5
2012,45,Chinese,Female,35.8
2012,50,Chinese,Female,31.1
2012,55,Chinese,Female,26.5
2012,60,Chinese,Female,22.2
2012,65,Chinese,Female,17.9
2012,70,Chinese,Female,13.9
2012,75,Chinese,Female,10.4
2012,80+,Chinese,Female,7.4
2013,0,Chinese,Male,74.8
2013,1,Chinese,Male,74.1
2013,5,Chinese,Male,70.2
2013,10,Chinese,Male,65.2
2013,15,Chinese,Male,60.3
2013,20,Chinese,Male,55.4
2013,25,Chinese,Male,50.6
2013,30,Chinese,Male,45.8
2013,35,Chinese,Male,41.1
2013,40,Chinese,Male,36.4
2013,45,Chinese,Male,31.9
2013,50,Chinese,Male,27.6
2013,55,Chinese,Male,23.4
2013,60,Chinese,Male,19.5
2013,65,Chinese,Male,15.7
2013,70,Chinese,Male,12.2
2013,75,Chinese,Male,9.3
2013,80+,Chinese,Male,6.5
2013,0,Chinese,Female,79.6
2013,1,Chinese,Female,78.9
2013,5,Chinese,Female,75
2013,10,Chinese,Female,70.1
2013,15,Chinese,Female,65.1
2013,20,Chinese,Female,60.2
2013,25,Chinese,Female,55.2
2013,30,Chinese,Female,50.3
2013,35,Chinese,Female,45.4
2013,40,Chinese,Female,40.6
2013,45,Chinese,Female,35.8
2013,50,Chinese,Female,31.2
2013,55,Chinese,Female,26.6
2013,60,Chinese,Female,22.3
2013,65,Chinese,Female,18
2013,70,Chinese,Female,14
2013,75,Chinese,Female,10.5
2013,80+,Chinese,Female,7.5
2014,0,Chinese,Male,74.8
2014,1,Chinese,Male,74.2
2014,5,Chinese,Male,70.2
2014,10,Chinese,Male,65.3
2014,15,Chinese,Male,60.3
2014,20,Chinese,Male,55.5
2014,25,Chinese,Male,50.6
2014,30,Chinese,Male,45.8
2014,35,Chinese,Male,41.1
2014,40,Chinese,Male,36.5
2014,45,Chinese,Male,32
2014,50,Chinese,Male,27.6
2014,55,Chinese,Male,23.5
2014,60,Chinese,Male,19.5
2014,65,Chinese,Male,15.8
2014,70,Chinese,Male,12.3
2014,75,Chinese,Male,9.3
2014,80+,Chinese,Male,6.5
2014,0,Chinese,Female,79.7
2014,1,Chinese,Female,79
2014,5,Chinese,Female,75.1
2014,10,Chinese,Female,70.2
2014,15,Chinese,Female,65.2
2014,20,Chinese,Female,60.3
2014,25,Chinese,Female,55.3
2014,30,Chinese,Female,50.4
2014,35,Chinese,Female,45.5
2014,40,Chinese,Female,40.7
2014,45,Chinese,Female,35.9
2014,50,Chinese,Female,31.3
2014,55,Chinese,Female,26.7
2014,60,Chinese,Female,22.4
2014,65,Chinese,Female,18.1
2014,70,Chinese,Female,14.1
2014,75,Chinese,Female,10.6
2014,80+,Chinese,Female,7.5
2015,0,Chinese,Male,74.9
2015,1,Chinese,Male,74.2
2015,5,Chinese,Male,70.3
2015,10,Chinese,Male,65.3
2015,15,Chinese,Male,60.4
2015,20,Chinese,Male,55.5
2015,25,Chinese,Male,50.7
2015,30,Chinese,Male,45.9
2015,35,Chinese,Male,41.1
2015,40,Chinese,Male,36.5
2015,45,Chinese,Male,32
2015,50,Chinese,Male,27.7
2015,55,Chinese,Male,23.5
2015,60,Chinese,Male,19.6
2015,65,Chinese,Male,15.9
2015,70,Chinese,Male,12.4
2015,75,Chinese,Male,9.3
2015,80+,Chinese,Male,6.5
2015,0,Chinese,Female,79.8
2015,1,Chinese,Female,79.1
2015,5,Chinese,Female,75.2
2015,10,Chinese,Female,70.2
2015,15,Chinese,Female,65.3
2015,20,Chinese,Female,60.3
2015,25,Chinese,Female,55.4
2015,30,Chinese,Female,50.5
2015,35,Chinese,Female,45.6
2015,40,Chinese,Female,40.8
2015,45,Chinese,Female,36
2015,50,Chinese,Female,31.4
2015,55,Chinese,Female,26.8
2015,60,Chinese,Female,22.5
2015,65,Chinese,Female,18.3
2015,70,Chinese,Female,14.2
2015,75,Chinese,Female,10.7
2015,80+,Chinese,Female,7.5
2016,0,Chinese,Male,74.9
2016,1,Chinese,Male,74.2
2016,5,Chinese,Male,70.3
2016,10,Chinese,Male,65.3
2016,15,Chinese,Male,60.4
2016,20,Chinese,Male,55.5
2016,25,Chinese,Male,50.7
2016,30,Chinese,Male,45.9
2016,35,Chinese,Male,41.1
2016,40,Chinese,Male,36.5
2016,45,Chinese,Male,32
2016,50,Chinese,Male,27.7
2016,55,Chinese,Male,23.5
2016,60,Chinese,Male,19.6
2016,65,Chinese,Male,15.9
2016,70,Chinese,Male,12.4
2016,75,Chinese,Male,9.3
2016,80+,Chinese,Male,6.6
2016,0,Chinese,Female,80
2016,1,Chinese,Female,79.3
2016,5,Chinese,Female,75.3
2016,10,Chinese,Female,70.4
2016,15,Chinese,Female,65.4
2016,20,Chinese,Female,60.5
2016,25,Chinese,Female,55.5
2016,30,Chinese,Female,50.6
2016,35,Chinese,Female,45.7
2016,40,Chinese,Female,40.9
2016,45,Chinese,Female,36.2
2016,50,Chinese,Female,31.5
2016,55,Chinese,Female,26.9
2016,60,Chinese,Female,22.6
2016,65,Chinese,Female,18.4
2016,70,Chinese,Female,14.4
2016,75,Chinese,Female,10.7
2016,80+,Chinese,Female,7.6
2017,0,Chinese,Male,74.8
2017,1,Chinese,Male,74.2
2017,5,Chinese,Male,70.3
2017,10,Chinese,Male,65.3
2017,15,Chinese,Male,60.4
2017,20,Chinese,Male,55.5
2017,25,Chinese,Male,50.7
2017,30,Chinese,Male,45.8
2017,35,Chinese,Male,41.1
2017,40,Chinese,Male,36.4
2017,45,Chinese,Male,31.9
2017,50,Chinese,Male,27.6
2017,55,Chinese,Male,23.5
2017,60,Chinese,Male,19.5
2017,65,Chinese,Male,15.8
2017,70,Chinese,Male,12.4
2017,75,Chinese,Male,9.2
2017,80+,Chinese,Male,6.5
2017,0,Chinese,Female,80.1
2017,1,Chinese,Female,79.4
2017,5,Chinese,Female,75.4
2017,10,Chinese,Female,70.5
2017,15,Chinese,Female,65.5
2017,20,Chinese,Female,60.6
2017,25,Chinese,Female,55.7
2017,30,Chinese,Female,50.7
2017,35,Chinese,Female,45.8
2017,40,Chinese,Female,41
2017,45,Chinese,Female,36.2
2017,50,Chinese,Female,31.6
2017,55,Chinese,Female,27
2017,60,Chinese,Female,22.6
2017,65,Chinese,Female,18.4
2017,70,Chinese,Female,14.4
2017,75,Chinese,Female,10.7
2017,80+,Chinese,Female,7.6
2018,0,Chinese,Male,75
2018,1,Chinese,Male,74.4
2018,5,Chinese,Male,70.4
2018,10,Chinese,Male,65.5
2018,15,Chinese,Male,60.5
2018,20,Chinese,Male,55.7
2018,25,Chinese,Male,50.8
2018,30,Chinese,Male,46
2018,35,Chinese,Male,41.3
2018,40,Chinese,Male,36.6
2018,45,Chinese,Male,32.1
2018,50,Chinese,Male,27.7
2018,55,Chinese,Male,23.6
2018,60,Chinese,Male,19.6
2018,65,Chinese,Male,15.9
2018,70,Chinese,Male,12.5
2018,75,Chinese,Male,9.2
2018,80+,Chinese,Male,6.6
2018,0,Chinese,Female,80.2
2018,1,Chinese,Female,79.5
2018,5,Chinese,Female,75.6
2018,10,Chinese,Female,70.7
2018,15,Chinese,Female,65.7
2018,20,Chinese,Female,60.8
2018,25,Chinese,Female,55.8
2018,30,Chinese,Female,50.9
2018,35,Chinese,Female,46
2018,40,Chinese,Female,41.2
2018,45,Chinese,Female,36.4
2018,50,Chinese,Female,31.7
2018,55,Chinese,Female,27.2
2018,60,Chinese,Female,22.8
2018,65,Chinese,Female,18.6
2018,70,Chinese,Female,14.5
2018,75,Chinese,Female,10.7
2018,80+,Chinese,Female,7.6
2019,0,Chinese,Male,75.2
2019,1,Chinese,Male,74.5
2019,5,Chinese,Male,70.6
2019,10,Chinese,Male,65.7
2019,15,Chinese,Male,60.7
2019,20,Chinese,Male,55.8
2019,25,Chinese,Male,51
2019,30,Chinese,Male,46.1
2019,35,Chinese,Male,41.4
2019,40,Chinese,Male,36.7
